delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
16.1,8.3,0.0,97.1,16.9,3.3,4.1,1
17.4,3.7,0.0,51.0,16.9,3.3,4.1,1
15.1,3.7,8.1,298.7,16.9,3.3,4.1,1
17.2,7.4,7.6,97.5,16.9,3.3,4.1,1
17.3,10.0,0.0,46.0,16.9,3.3,4.1,1
16.2,16.1,9.0,60.4,16.9,3.3,4.1,0
17.7,10.4,12.3,68.6,16.9,3.3,4.1,0
15.9,7.3,8.5,101.4,16.9,3.3,4.1,1
17.4,13.6,2.0,63.3,16.9,3.3,4.1,0
17.5,9.2,5.5,79.5,16.9,3.3,4.1,1
16.2,2.1,2.5,63.7,16.9,3.3,4.1,1
16.7,7.3,8.8,160.2,16.9,3.3,4.1,0
19.0,4.3,2.0,102.1,16.9,3.3,4.1,1
17.6,7.2,2.2,84.9,16.9,3.3,4.1,1
12.3,6.3,5.7,72.9,16.9,3.3,4.1,0
16.7,9.6,8.8,107.5,16.9,3.3,4.1,1
17.8,3.1,5.7,80.7,16.9,3.3,4.1,1
17.2,4.9,6.6,86.6,16.9,3.3,4.1,1
16.6,6.4,2.0,95.0,16.9,3.3,4.1,1
17.4,13.5,5.5,65.1,16.9,3.3,4.1,0
17.6,6.8,7.0,101.7,16.9,3.3,4.1,1
20.0,12.5,6.7,156.3,16.9,3.3,4.1,0
15.5,27.6,16.8,32.8,16.9,3.3,4.1,1
15.1,11.8,0.0,54.6,16.9,3.3,4.1,0
18.3,15.2,0.0,52.6,16.9,3.3,4.1,0
15.6,14.5,0.0,51.8,16.9,3.3,4.1,0
18.3,11.4,5.2,73.4,16.9,3.3,4.1,0
16.8,8.0,4.1,161.0,16.9,3.3,4.1,1
17.2,10.6,4.8,118.2,16.9,3.3,4.1,0
16.8,0.0,0.2,108.7,16.9,3.3,4.1,1
16.4,2.2,5.0,422.4,16.9,3.3,4.1,1
17.4,9.8,18.3,112.8,16.9,3.3,4.1,0
18.6,10.3,8.0,103.8,16.9,3.3,4.1,1
17.4,4.1,13.5,106.0,16.9,3.3,4.1,0
17.8,6.3,5.1,104.0,16.9,3.3,4.1,1
17.2,1.0,5.0,101.9,16.9,3.3,4.1,1
18.7,0.0,1.0,169.9,16.9,3.3,4.1,1
17.2,3.1,6.5,113.8,16.9,3.3,4.1,1
17.3,5.5,2.0,118.6,16.9,3.3,4.1,1
17.0,9.6,4.5,131.7,16.9,3.3,4.1,0
17.2,1.9,6.1,82.1,16.9,3.3,4.1,1
16.4,0.0,1.8,94.9,16.9,3.3,4.1,1
17.9,11.9,5.2,89.1,16.9,3.3,4.1,0
16.7,3.8,1.7,89.0,16.9,3.3,4.1,1
18.1,7.6,15.6,86.2,16.9,3.3,4.1,0
17.2,2.4,2.0,50.0,16.9,3.3,4.1,1
17.6,0.0,0.0,58.3,16.9,3.3,4.1,0
18.6,16.2,5.7,75.4,16.9,3.3,4.1,0
18.8,0.0,0.0,156.9,16.9,3.3,4.1,1
18.0,0.0,0.0,156.9,16.9,3.3,4.1,1
15.7,0.0,0.0,195.9,16.9,3.3,4.1,1
16.0,4.7,10.0,191.8,16.9,3.3,4.1,1
15.8,1.0,2.2,190.6,16.9,3.3,4.1,1
16.7,1.4,4.8,449.9,16.9,3.3,4.1,1
16.8,1.0,4.7,468.7,16.9,3.3,4.1,1
15.6,0.8,3.2,301.5,16.9,3.3,4.1,1
16.6,6.2,2.6,464.2,16.9,3.3,4.1,1
16.8,7.2,3.4,364.9,16.9,3.3,4.1,1
16.2,1.8,4.9,433.7,16.9,3.3,4.1,1
16.6,6.6,2.9,432.4,16.9,3.3,4.1,1
16.4,10.0,5.7,184.4,16.9,3.3,4.1,0
15.7,10.2,5.9,174.5,16.9,3.3,4.1,1
15.6,4.5,6.7,124.1,16.9,3.3,4.1,1
14.7,6.1,11.3,78.1,16.9,3.3,4.1,0
16.2,4.7,8.4,159.0,16.9,3.3,4.1,1
17.8,2.2,5.5,362.1,16.9,3.3,4.1,1
17.8,6.4,7.0,69.8,16.9,3.3,4.1,1
15.0,3.0,4.3,170.0,16.9,3.3,4.1,1
15.5,8.9,6.2,182.0,16.9,3.3,4.1,1
16.0,7.7,4.4,173.4,16.9,3.3,4.1,1
17.8,8.6,4.1,266.0,16.9,3.3,4.1,1
16.7,4.5,4.1,339.0,16.9,3.3,4.1,1
16.7,9.1,7.5,94.0,16.9,3.3,4.1,1
18.2,8.1,12.2,82.5,16.9,3.3,4.1,0
17.4,9.4,6.4,80.3,16.9,3.3,4.1,1
12.3,2.0,0.0,92.3,16.9,3.3,4.1,0
16.8,7.6,8.0,90.8,16.9,3.3,4.1,1
16.8,7.6,7.7,98.3,16.9,3.3,4.1,1
17.1,12.9,6.5,90.5,16.9,3.3,4.1,0
15.8,3.1,5.7,75.4,16.9,3.3,4.1,1
16.4,11.3,7.5,124.5,16.9,3.3,4.1,0
14.9,2.3,6.1,103.2,16.9,3.3,4.1,1
15.1,6.3,3.5,121.0,16.9,3.3,4.1,1
14.5,2.9,5.1,104.8,16.9,3.3,4.1,1
16.4,11.4,9.2,111.4,16.9,3.3,4.1,1
15.8,7.6,4.7,106.4,16.9,3.3,4.1,1
16.1,7.7,8.3,152.5,16.9,3.3,4.1,1
16.2,8.0,8.8,136.6,16.9,3.3,4.1,1
17.6,9.6,4.5,198.0,16.9,3.3,4.1,1
15.7,14.7,7.1,131.5,16.9,3.3,4.1,0
16.8,3.1,2.0,107.4,16.9,3.3,4.1,1
16.7,6.7,5.7,123.1,16.9,3.3,4.1,1
16.2,5.1,9.2,175.5,16.9,3.3,4.1,1
17.0,7.6,3.6,332.3,16.9,3.3,4.1,1
21.0,10.2,27.2,82.7,16.9,3.3,4.1,0
20.0,11.3,21.8,81.9,16.9,3.3,4.1,0
16.7,2.5,6.2,269.6,16.9,3.3,4.1,0
14.8,1.7,3.5,141.1,16.9,3.3,4.1,1
16.8,11.5,10.2,92.5,16.9,3.3,4.1,0
15.1,3.4,7.6,78.9,16.9,3.3,4.1,1
15.3,4.8,11.2,66.2,16.9,3.3,4.1,1
16.4,10.6,7.4,127.8,16.9,3.3,4.1,1
