polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polyethylene (PE),16.9,3.3,4.1,8.1,Benzyl Benzoate,20.0,5.1,5.2,191.2,0.8085,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Benzyl Butyl Phthalate,19.0,11.2,3.1,306.0,1.1115,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Benzyl Chloride,18.8,7.1,2.6,115.0,0.6888,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Benzylethyl Ether,18.4,3.8,3.8,144.2,0.3773,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bicyclohexyl,18.6,0.0,0.0,188.5,0.7736,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Biphenyl,19.7,1.0,2.0,155.1,0.7911,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Biuret,20.0,14.6,18.8,70.3,2.4136,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromine (P From Dipole Moment),18.2,2.1,0.0,51.5,0.6174,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromoacetylene,15.7,9.9,5.6,67.7,0.8866,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromobenzene,20.5,5.5,4.1,105.3,0.9295,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromochloromethane,17.3,5.7,3.5,65.0,0.321,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromoethylene,16.1,6.3,2.3,71.6,0.4749,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromoform,21.4,4.1,6.1,87.5,1.1425,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromomethyl Methyl Ether,16.9,8.5,7.0,81.6,0.7351,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bromotrichloro Methane (P and H from,18.3,8.1,6.0,99.2,0.725,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butadiene,14.7,1.7,6.2,82.3,0.6335,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butadiene-1-ol,16.2,6.6,16.8,76.5,1.6292,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butadiene-4-Cyano,16.2,11.7,5.2,93.7,1.0601,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butadione,15.7,5.1,6.8,87.8,0.4983,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butandiol Diacrylate,16.8,9.1,4.2,194.4,0.7166,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butane,14.1,0.0,0.0,101.4,0.9488,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butanediol,16.6,10.0,21.5,89.9,2.3031,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butanethiol,16.3,5.3,4.5,107.8,0.2922,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butanol,16.0,5.7,15.8,91.5,1.4912,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butene,13.2,1.3,3.9,94.3,0.9467,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butenenitrile,16.2,14.3,5.6,80.5,1.3814,0
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Acetate,15.8,3.7,6.3,132.5,0.3873,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Sec-Butyl Acetate,15.0,3.7,7.6,133.6,0.6397,1
Polyethylene (PE),16.9,3.3,4.1,8.1,tert-Butyl Acetate,15.4,6.2,6.2,134.1,0.5767,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Acrylate,15.6,6.2,4.9,143.8,0.4909,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Amine,16.2,4.5,8.0,99.0,0.5326,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyl Benzoate,18.3,5.6,5.5,178.0,0.4796,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Butyrate,15.6,2.9,5.6,166.7,0.3739,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Cyclohexane,16.2,0.0,0.6,176.7,0.6185,0
