polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Cyanoacetate,16.8,14.8,9.1,88.3,1.0711,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Cyclohexane,16.0,0.0,1.0,128.3,0.9863,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Ethyl Ether,14.7,4.9,6.2,84.1,1.0525,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Ethyl Ketone,16.0,9.0,5.1,90.1,0.8741,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Ethyl Ketoxime,14.7,4.9,7.8,94.8,1.0776,0
Polystyrene (PS),21.3,5.8,4.3,12.7,N-Methyl Formamide,17.4,18.8,15.9,59.1,1.5031,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Formate,15.3,8.4,10.2,62.2,1.0726,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Furoate,17.4,6.9,9.7,107.0,0.752,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Hydrazine,16.2,8.7,14.8,52.7,1.1751,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Iodide,17.5,7.7,5.3,62.3,0.6218,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Isocyanate,15.6,7.3,2.5,61.8,0.9164,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Isothiocyanate,17.3,16.2,10.1,68.4,1.1296,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Mercaptan,16.6,7.7,8.6,54.1,0.8276,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl n-Amyl K etone,16.2,5.7,4.1,139.8,0.8033,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl n-Propyl Ketone,16.0,7.6,4.7,106.7,0.8472,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Nitrate,15.8,14.0,4.8,63.8,1.081,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Phenyl Sulfid,19.6,4.8,4.7,117.4,0.2808,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Phenyl Sulfone,20.0,16.9,7.8,124.6,0.939,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Phosphonic Difluorid,14.0,14.0,8.4,73.9,1.3575,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Propionate,15.5,6.5,7.7,96.8,0.9534,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Silane,15.5,3.3,0.0,71.0,0.9938,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Thiocyanate,17.3,15.0,6.0,68.5,0.9693,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Vinyl Ether,14.9,5.3,6.3,75.2,1.0209,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Vinyl Ketone,15.6,12.5,5.0,81.2,1.0426,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Vinyl Sulfid,16.4,4.9,6.0,82.1,0.7864,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl Vinyl Sulfone,16.8,19.6,4.8,87.6,1.2979,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl-3-Methoxy Butyl Acetate,15.3,3.8,7.7,168.6,0.9946,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methyl-4-Toluenesulfonate,19.6,15.3,3.8,152.6,0.7955,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Methylal (Dimethoxymethane),15.0,1.8,8.6,169.4,1.0946,0
Polystyrene (PS),21.3,5.8,4.3,12.7,N-Methylaniline,19.5,6.0,11.5,108.4,0.634,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methylene Dichloride,18.2,6.3,6.1,63.9,0.5099,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methylene Diiodide,17.8,3.9,5.5,80.5,0.5789,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Methylenedioxybenzene,19.0,6.7,5.9,114.8,0.39,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Morpholine,18.8,4.9,9.2,87.1,0.5558,1
Polystyrene (PS),21.3,5.8,4.3,12.7,"N,N,N,N-Tetramethylthiourea",17.3,6.0,10.5,132.2,0.7971,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Naphthalene,19.2,2.0,5.9,111.5,0.4634,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Naphthol,19.7,6.3,12.3,131.7,0.6796,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Nitrobenzene,20.0,8.6,4.1,102.7,0.3013,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Nitroethane,16.0,15.5,4.5,71.5,1.1315,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Nitroethylene,16.3,16.6,5.0,59.9,1.1603,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Nitromethane,15.8,18.8,5.1,54.3,1.3424,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Nitrosobenzene,20.0,12.7,4.0,89.3,0.5811,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Nonane,15.7,0.0,0.0,179.7,1.0493,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Nonanediol,15.7,7.0,15.1,170.5,1.2288,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Nonanol,16.0,4.8,10.6,174.4,0.9741,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Nonene,15.4,1.0,2.2,170.5,1.0166,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Octadecane,16.4,0.0,0.0,326.9,0.9585,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Octane,15.5,0.0,0.0,163.5,1.0759,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Octanoic Acid,15.1,3.3,8.2,159.0,1.0423,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Octanol,16.0,5.0,11.9,157.7,1.0289,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Octene,15.3,1.0,2.4,158.0,1.0286,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Octyl Acetate,15.8,2.9,5.1,196.0,0.8979,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Oxalic Acid,17.0,14.3,22.0,47.4,1.6879,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Oxalylchloride,16.1,3.8,7.5,85.8,0.8711,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Oxetane (Trimethylene Oxide),18.0,9.1,5.4,65.0,0.5874,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Paracetamol,17.8,10.5,13.9,151.2,1.0061,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentamethylene Sulfid,18.5,6.3,8.9,103.6,0.572,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentanal (Valeraldehyde),15.7,9.4,5.8,106.4,0.9338,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentane,14.5,0.0,0.0,116.2,1.2124,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentanedione,17.1,9.0,4.1,103.1,0.708,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentanoic Acid,15.0,4.1,10.3,109.2,1.107,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentanol,15.9,5.9,13.9,108.6,1.1378,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentenal,15.5,8.1,6.8,98.7,0.9517,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pentene,13.9,1.4,3.8,110.4,1.2164,0
Polystyrene (PS),21.3,5.8,4.3,12.7,n-Pentyl Propionate,15.8,5.2,5.7,165.3,0.8744,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenanthrenequinone,20.3,17.1,4.8,148.2,0.9044,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenetole (Ethyl Phenyl Ether),18.4,4.5,4.0,127.3,0.4686,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenol,18.0,5.9,14.9,87.5,0.9832,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenyl Acetate,19.8,5.2,6.4,126.9,0.2922,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenyl Acetonitrile,19.5,12.3,3.8,114.9,0.5864,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenyl Acetylene,18.8,2.8,4.0,109.1,0.4597,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phenylhydrazine,20.4,6.5,14.0,98.5,0.7788,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phosgene,16.4,5.3,5.3,71.7,0.7767,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Phosphoric Acid,14.7,18.6,26.8,52.8,2.288,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Phosphorous Oxychloride (Phosphoryl,18.1,9.3,0.0,93.2,0.6667,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phosphorus Trichloride,18.4,3.6,0.0,87.3,0.5943,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Phthalic Anhydride,20.6,20.1,10.1,96.8,1.2201,0
Polystyrene (PS),21.3,5.8,4.3,12.7,"Picric Acid (2,4,6-Trinitrophenol)",19.2,7.0,6.0,130.0,0.3691,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Piperazine,18.1,5.6,8.0,97.9,0.5823,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Piperidine,17.6,4.5,8.9,98.9,0.6937,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propadiene (Allene),15.3,3.0,6.8,60.1,0.99,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propane,13.4,0.0,0.0,89.5,1.3678,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propanediol (Trimethyleneglycol),16.8,13.5,23.2,72.5,1.7563,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propanethiol,16.3,6.8,6.5,94.1,0.8101,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propanol,16.0,6.8,17.4,75.2,1.3292,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propargyl Acetate,16.3,5.2,8.3,98.8,0.8494,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propargylaldehyde,16.2,11.9,8.7,60.0,0.9979,1
Polystyrene (PS),21.3,5.8,4.3,12.7,beta-Propiolactone,19.7,18.2,10.3,65.5,1.1136,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionaldehyde,15.3,11.1,6.9,73.4,1.053,0
Polystyrene (PS),21.3,5.8,4.3,12.7,"Propionaldehyde-2,3-Epoxy",17.5,13.4,9.8,63.2,0.9507,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionamide,16.7,9.8,11.5,78.9,0.9723,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionic Acid,14.7,5.3,12.4,75.0,1.2201,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionic Anhydride,16.2,10.0,8.7,129.4,0.9351,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionitrile,15.3,14.3,5.5,70.9,1.1618,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propionylchloride,16.1,10.3,5.3,86.9,0.8957,0
Polystyrene (PS),21.3,5.8,4.3,12.7,n-Propyl Acetate,15.3,4.3,7.6,115.3,0.9871,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propyl Amine,16.9,4.9,8.6,83.0,0.7745,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propyl Formate,15.5,7.1,8.6,97.9,0.9795,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propylene,15.1,1.6,1.5,68.8,1.0542,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propylene Glycol,16.8,9.4,23.3,73.6,1.6795,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propylene Glycol Monoeth yl Ether,15.6,4.3,9.0,155.1,0.9781,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Propylene Glycol Monometh yl Ether,15.6,5.6,9.8,137.1,0.9968,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propyn-1-ol,16.1,8.8,19.1,57.7,1.4438,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Propynonitrile,15.5,17.0,6.3,62.5,1.2794,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pyridazine,20.2,17.4,11.7,72.6,1.0972,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pyridine,19.0,8.8,5.9,80.9,0.4504,1
Polystyrene (PS),21.3,5.8,4.3,12.7,"Pyrogallol (1,2,3-Trihydroxybenzene)",20.7,10.7,21.1,87.0,1.3812,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Pyrrolidine,17.9,6.5,7.4,83.5,0.591,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Pyrrolidone,19.4,17.4,11.3,76.4,1.108,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Quinoline,19.8,5.6,5.7,118.0,0.2612,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Sebacic Acid,17.1,7.1,11.7,167.6,0.8874,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Stearic Acid,16.3,3.3,5.5,326.0,0.8171,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Styrene,18.6,1.0,4.1,115.6,0.5691,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Succinaldehyde (Butanedial),16.8,9.8,10.5,81.2,0.9164,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Succinic Anhydride,18.6,19.2,16.6,66.8,1.494,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Succinonitrile,17.9,16.2,7.9,81.2,1.0186,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Sulfolane,20.3,18.2,10.9,95.7,1.1172,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Sulfur Dicyanide,18.1,13.5,0.0,60.0,0.858,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Sulfur Dioxide,15.8,8.4,10.0,44.0,0.9968,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Sulfuryl Chloride,17.6,7.2,0.0,81.0,0.6829,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Terephthalic Acid,18.8,6.1,10.7,166.0,0.6399,1
Polystyrene (PS),21.3,5.8,4.3,12.7,"Tetrachlorobenzene 1,2,4,5-T",21.2,10.7,3.4,116.2,0.3926,1
Polystyrene (PS),21.3,5.8,4.3,12.7,n-Tetradecane,16.2,0.0,0.0,261.3,0.984,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetradecene,16.1,0.5,1.9,253.4,0.9383,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetrahydrofuran,16.8,5.7,8.0,81.7,0.7663,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetrahydropyran,16.4,6.3,6.0,97.8,0.7842,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetrahydrothiapyran,18.5,6.3,8.9,103.6,0.572,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetramethylene Sulfid,18.6,6.7,9.1,88.3,0.5733,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetramethylene Sulfone (Sulfolane),20.3,18.2,10.9,95.7,1.1172,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetramethylene Sulfoxide,18.2,11.0,9.1,90.0,0.7408,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetramethylurea,16.7,8.2,11.0,120.4,0.9159,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tetranitromethane,15.5,9.9,7.5,119.7,1.001,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiabutane,16.2,5.9,5.3,90.4,0.807,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiacyclopropane,19.3,9.1,5.0,58.0,0.412,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiazole,20.5,18.8,10.8,70.9,1.1514,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thioacetamide,17.5,20.6,20.2,75.0,1.8121,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Thioacetic Acid,17.0,6.7,8.9,71.5,0.7712,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Gamma-Thiobutyrolactone,19.0,6.9,6.2,86.6,0.4013,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiocyanic Acid,16.8,8.9,10.9,51.7,0.9121,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thioglycolic Acid (Mercapto Acetic,16.0,8.6,14.8,69.5,1.1953,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Thionyl Chloride,16.9,6.2,5.9,79.0,0.705,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiophene,18.9,2.4,7.8,79.0,0.539,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiophenol,20.0,4.5,10.3,102.4,0.525,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Thiourea,20.0,21.7,14.8,72.8,1.5142,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Toluene,18.0,1.4,2.0,106.8,0.6503,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Toluidine,19.4,5.8,9.4,107.8,0.5008,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tri-n-Butyl Borate,16.7,1.8,4.6,269.7,0.7903,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Tri Butyl Phosphate,16.3,6.3,4.3,274.0,0.7884,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trichloro-Methyl-Silane,16.5,6.6,3.5,117.4,0.7611,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trichloroacetic Acid,18.3,5.8,11.4,100.2,0.7319,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trichloroacetonitrile,16.4,7.4,6.1,100.0,0.7946,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trichlorofluoromethane (Freon 11,15.3,2.0,0.0,92.8,1.0474,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Tricresyl Phosphate,19.0,12.3,4.5,316.0,0.6272,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Tridecyl Alcohol,16.2,3.1,9.0,242.0,0.9095,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Triethylamine,17.8,0.4,1.0,138.6,0.743,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Triethylphosphate,16.7,11.4,9.2,171.0,0.9317,0
Polystyrene (PS),21.3,5.8,4.3,12.7,"alpha,alpha,alpha Trifluoro oluene",17.5,8.8,0.0,122.9,0.727,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Trifluoroacetic Aci,15.6,9.9,11.6,74.2,1.1137,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trifluoromethane (Freon 23,14.4,8.9,6.5,46.1,1.1271,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Triisononyl Trimellilate,16.6,5.7,2.2,602.9,0.7584,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Triisooctyl Trimellitate,16.6,6.0,2.5,553.1,0.7538,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trimethyl Amine,14.6,3.4,1.8,90.3,1.0898,0
Polystyrene (PS),21.3,5.8,4.3,12.7,"Trimethyl-1,3-Pentanediol",15.1,6.1,9.8,227.4,1.0684,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Trimethylenesulfid,18.8,7.8,9.4,72.8,0.584,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trimethylphosphate,16.7,15.9,10.2,115.8,1.1718,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Trinitomethane,15.5,10.3,7.3,94.6,1.0078,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Trioctylphosphate,16.2,5.9,4.2,469.8,0.8032,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Triphenyl Phosphate,20.1,6.4,6.8,271.9,0.2769,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Undecane,16.0,0.0,0.0,212.7,1.0099,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Valeronitrile,15.3,11.0,4.8,103.8,1.0305,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Acetate,16.0,7.2,5.9,92.6,0.8513,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Acetic Acid,16.8,5.2,12.3,85.3,0.9493,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Acetylene,15.1,1.7,12.0,74.3,1.1938,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Amine,15.7,7.2,11.8,51.8,1.0671,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Bromide,15.9,6.3,5.4,71.6,0.8557,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Butyrate,15.6,3.9,6.9,126.5,0.9328,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Chloride,16.0,6.5,2.4,68.7,0.8497,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Ether,14.8,4.2,5.8,90.7,1.0381,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Ethyl Ether,14.5,4.9,6.0,95.0,1.0815,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Ethyl Sulfid,16.4,5.8,6.3,101.3,0.7876,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Formate,15.3,6.5,9.7,74.7,1.0376,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Iodide (Iodoethene),17.1,5.5,7.3,75.6,0.7027,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Propionate,15.6,8.0,4.7,110.1,0.9147,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Silane,15.5,2.6,4.0,89.4,0.9478,1
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Trifluoro Acetate,13.9,4.3,7.6,116.4,1.1998,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Vinyl Trimethyl Silane,14.5,1.0,2.5,145.3,1.1444,0
Polystyrene (PS),21.3,5.8,4.3,12.7,Xylene,17.6,1.0,3.1,123.3,0.7009,0
Polystyrene (PS),21.3,5.8,4.3,12.7,o-Xylene,17.8,1.0,3.1,121.2,0.675,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetaldehyde,14.7,12.5,7.9,56.6,0.8124,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetaldoxime,16.3,4.0,20.2,61.2,1.2239,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetamide,17.3,18.7,22.4,60.8,1.7072,0
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetanilide,20.6,13.3,12.4,110.9,0.8087,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetic Acid,14.5,8.0,13.5,57.1,0.8545,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetic Anhydride,16.0,11.7,10.2,94.5,0.6012,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetone,15.5,10.4,7.0,74.0,0.5911,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetonemethyloxime,14.7,4.6,4.6,96.7,0.7955,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetonitrile,15.3,18.0,6.1,52.6,1.1505,0
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetoxime,16.3,3.7,10.9,80.2,0.5632,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,"Acetoxy-1,3-butadiene",16.1,4.4,8.3,118.4,0.4925,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetylacetone,16.1,11.2,6.2,103.0,0.564,0
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetylbromide,16.7,10.6,5.2,74.0,0.5012,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetylchloride,16.2,11.2,5.8,71.4,0.5656,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetylene (Ethyne),14.4,4.2,11.9,42.1,0.8522,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acetylfluorid,14.7,14.0,5.7,62.0,0.934,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acridine,21.7,5.9,2.0,163.0,0.9012,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acrolein,15.0,7.2,7.8,66.7,0.6063,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acrylamide,15.8,12.1,12.8,63.4,0.7574,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acrylic Acid,17.7,6.4,14.9,68.5,0.6382,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acrylonitrile,16.0,12.8,6.8,67.1,0.6651,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Acrylylchloride,16.2,11.6,5.4,81.3,0.6057,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,"Adipic Acid (1,6-Hexanedioic)",17.1,9.0,14.6,107.5,0.6452,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Acetate,15.7,4.5,8.0,108.5,0.5508,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Acetic Acid,16.7,4.7,11.3,102.1,0.4796,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Acetonitrile (4-Pentenenitrile),16.3,11.2,5.0,98.5,0.5893,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Alcohol,16.2,10.8,16.8,68.4,0.9393,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Amine,15.5,5.7,10.6,74.9,0.5792,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Cyanide,16.0,14.3,5.6,80.5,0.8054,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Formate,15.7,5.4,8.8,91.0,0.5138,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Allyl Mercaptan,16.4,6.2,7.9,80.2,0.3631,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Amino Pyridine,20.4,8.1,12.2,94.1,0.5576,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Amyl Acetate,15.8,3.3,6.1,148.0,0.6365,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Aniline,19.4,5.1,10.2,91.5,0.367,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Anisole,17.8,4.1,6.7,119.1,0.3624,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Anthraquinone,20.3,7.6,4.8,145.6,0.5159,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Azidoethane,15.9,8.9,12.9,79.0,0.6278,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Benzal Chloride,19.9,6.6,2.4,134.2,0.648,0
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Benzaldehyde,19.4,7.4,5.3,101.5,0.3626,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Benzamide,21.2,14.7,11.2,90.3,0.9255,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Benzene,18.4,0.0,2.0,89.4,0.9248,1
Polyvinyl Chloride (PVC),18.2,7.5,8.3,10.6,Benzenediol,18.0,8.4,21.0,87.5,1.2017,0
